iter	Passed	Remaining
0	2	232
1	4	229
2	6	205
3	7	186
4	9	182
5	11	176
6	12	169
7	14	168
8	16	165
9	18	162
10	19	160
11	21	159
12	23	156
13	25	153
14	26	150
15	28	150
16	30	149
17	32	149
18	34	147
19	36	146
20	38	144
21	40	142
22	41	138
23	43	136
24	44	134
25	46	132
26	48	130
27	49	127
28	51	125
29	52	123
30	54	121
31	55	118
32	57	115
33	58	113
34	60	111
35	61	109
36	63	107
37	64	105
38	66	103
39	67	101
40	69	99
41	69	96
42	71	94
43	73	92
44	74	91
45	76	89
46	77	87
47	79	86
48	81	84
49	82	82
50	84	81
51	85	79
52	87	77
53	89	75
54	90	73
55	91	72
56	93	70
57	94	68
58	96	67
59	98	65
60	99	63
61	101	62
62	103	60
63	104	58
64	106	57
65	108	55
66	109	54
67	111	52
68	112	50
69	114	49
70	116	47
71	118	45
72	119	44
73	121	42
74	123	41
75	124	39
76	126	37
77	128	36
78	129	34
79	131	32
80	134	31
81	135	29
82	137	28
83	139	26
84	140	24
85	142	23
86	144	21
87	145	19
88	147	18
89	149	16
90	150	14
91	152	13
92	154	11
93	155	9
94	157	8
95	159	6
96	160	4
97	162	3
98	164	1
99	165	0
