iter	Passed	Remaining
0	135	134980
1	135	67856
2	136	45456
3	137	34249
4	138	27545
5	139	23086
6	140	19919
7	141	17498
8	141	15622
9	142	14113
10	143	12907
11	144	11923
12	145	11076
13	146	10327
14	147	9671
15	147	9099
16	148	8594
17	149	8151
18	150	7749
19	150	7385
20	151	7053
21	151	6748
22	152	6474
23	153	6226
24	153	5995
25	154	5783
26	155	5598
27	156	5439
28	157	5275
29	158	5116
30	158	4969
31	159	4827
32	160	4697
33	161	4586
34	162	4480
35	163	4373
36	164	4278
37	165	4180
38	165	4088
39	166	4000
40	167	3914
41	167	3829
42	168	3751
43	170	3705
44	171	3638
45	172	3569
46	173	3510
47	174	3451
48	174	3393
49	175	3337
50	176	3283
51	177	3231
52	178	3185
53	179	3139
54	179	3089
55	180	3041
56	181	2996
57	181	2953
58	183	2919
59	184	2884
60	184	2843
61	185	2802
62	185	2763
63	186	2725
64	186	2689
65	187	2654
66	188	2619
67	188	2585
68	189	2560
69	191	2542
70	192	2515
71	192	2486
72	193	2459
73	194	2432
74	195	2409
75	196	2388
76	197	2363
77	197	2337
78	198	2312
79	198	2287
80	199	2262
81	200	2240
82	200	2214
83	201	2194
84	201	2173
85	202	2152
86	203	2131
87	203	2110
88	204	2090
89	204	2070
90	205	2051
91	206	2035
92	207	2024
93	209	2017
94	210	2002
95	211	1987
96	211	1971
97	212	1954
98	212	1937
99	213	1924
100	214	1912
101	215	1900
102	216	1884
103	216	1869
104	217	1855
105	218	1840
106	218	1825
107	219	1811
108	219	1797
109	220	1783
110	221	1770
111	221	1757
112	222	1743
113	222	1731
114	223	1721
115	224	1709
116	224	1697
117	225	1687
118	226	1678
119	227	1668
120	228	1656
121	228	1644
122	229	1633
123	229	1623
124	230	1613
125	231	1603
126	231	1593
127	232	1583
128	232	1572
129	233	1563
130	234	1553
131	234	1543
132	235	1533
133	235	1524
134	237	1518
135	237	1511
136	238	1503
137	239	1497
138	240	1490
139	241	1482
140	242	1476
141	242	1466
142	243	1458
143	244	1450
144	244	1443
145	245	1436
146	246	1427
147	246	1419
148	247	1411
149	247	1403
150	248	1397
151	249	1390
152	249	1382
153	250	1375
154	250	1367
155	251	1360
156	252	1353
157	252	1346
158	253	1339
159	253	1332
160	254	1325
161	254	1318
162	255	1313
163	256	1309
164	257	1303
165	257	1296
166	258	1289
167	258	1282
168	259	1275
169	260	1269
170	260	1263
171	261	1257
172	262	1253
173	262	1247
174	263	1241
175	263	1235
176	264	1229
177	264	1223
178	265	1217
179	266	1211
180	266	1208
181	267	1204
182	268	1198
183	269	1192
184	269	1187
185	270	1182
186	271	1178
187	271	1174
188	272	1170
189	273	1166
190	274	1162
191	275	1158
192	276	1154
193	276	1148
194	277	1144
195	278	1141
196	279	1138
197	280	1135
198	280	1130
199	281	1125
200	282	1121
201	282	1117
202	283	1112
203	284	1108
204	284	1104
205	285	1100
206	285	1095
207	286	1091
208	287	1087
209	287	1082
210	288	1078
211	288	1073
212	289	1069
213	289	1064
214	290	1060
215	291	1057
216	292	1054
217	293	1052
218	294	1050
219	295	1046
220	295	1043
221	296	1039
222	297	1035
223	298	1033
224	299	1030
225	299	1026
226	300	1023
227	301	1019
228	301	1015
229	302	1011
230	302	1008
231	303	1005
232	304	1001
233	305	999
234	306	996
235	308	998
236	309	996
237	310	993
238	311	990
239	311	986
240	312	983
241	313	981
242	314	978
243	314	975
244	315	972
245	316	969
246	316	965
247	317	962
248	318	959
249	318	955
250	319	953
251	320	949
252	321	948
253	321	945
254	322	942
255	323	939
